Designator,Val,Package,MidX,MidY,Rotation,Side
"C1","100nF","C_0402_1005Metric",105.805000,-74.300000,0.000000,top
"C2","100nF","C_0402_1005Metric",108.685000,-73.645000,-90.000000,top
"C3","220nF","C_0402_1005Metric",106.275000,-69.015000,0.000000,top
"C4","10uF","C_0402_1005Metric",108.435000,-66.595000,0.000000,top
"C5","100nF","C_0402_1005Metric",108.435000,-67.595000,0.000000,top
"C6","10uF","C_0402_1005Metric",109.310000,-58.790000,0.000000,top
"C7","10uF","C_0402_1005Metric",113.460000,-55.820000,90.000000,top
"C8","1uF","C_0402_1005Metric",105.150000,-62.040000,180.000000,top
"C9","1uF","C_0402_1005Metric",103.800000,-67.080000,-90.000000,top
"C10","10uF","C_0402_1005Metric",108.000000,-55.320000,90.000000,top
"C11","100nF","C_0402_1005Metric",108.435000,-65.595000,0.000000,top
"IC1","BQ24072RGTRG4","QFN50P300X300X100-17N-D",110.540000,-56.050000,180.000000,top
"IMU1","LSM6DSV16XTR","LGA14L_LSM6_STM",106.082000,-72.225600,0.000000,top
"LDO1","XC6206P302MR","SOT95P280X130-3N",105.220000,-64.320000,0.000000,top
"LED1","LTST-S326KGJRKT","LTST-S326KGJRKT",116.070000,-53.655000,90.000000,top
"LED2","LTST-S270TBKT","LTSTS270TBKT",100.470000,-74.120000,0.000000,top
"MAG1","LIS2MDLTR","LGA-12",106.060000,-67.160000,0.000000,top
"R1","2.7k","R_0402_1005Metric",104.525000,-70.055000,180.000000,top
"R2","2.7k","R_0402_1005Metric",107.325000,-70.055000,0.000000,top
"R3","10k","R_0402_1005Metric",98.970000,-69.920000,0.000000,top
"R4","5.1k","R_0402_1005Metric",103.320000,-53.285000,90.000000,top
"R5","5.1k","R_0402_1005Metric",104.530000,-53.285000,90.000000,top
"R6","1.78k","R_0402_1005Metric",111.610000,-59.020000,180.000000,top
"R7","1,3k","R_0402_1005Metric",116.960000,-59.310000,180.000000,top
"R8","100k","R_0402_1005Metric",110.020000,-64.655000,90.000000,top
"R9","51k","R_0402_1005Metric",111.125000,-64.655000,-90.000000,top
"R10","1k","R_0402_1005Metric",103.350000,-74.270000,180.000000,top
"R11","2,7k","R_0402_1005Metric",114.445000,-59.285000,0.000000,top
"R16","10k","R_0402_1005Metric",113.050000,-57.820000,180.000000,top
"R17","1.5k","R_0402_1005Metric",107.790000,-59.300000,-90.000000,top
"RST1","SKSCLBE010","SKSCLBE010",96.470000,-72.320000,-90.000000,top
"S1","SK-3293S","SK3293S",96.120000,-65.832000,-90.000000,top
"USB1","USB_C_Receptacle_USB2.0","USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal",97.175000,-56.995000,-90.000000,top
"nRF1","ISP1507-AX-RS","ISP1507AXRS",113.850000,-70.330000,90.000000,top
